                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0182,                0.22945,                0.54122,                 0.6168,                0.02856,                0.01302,                0.00285,                 1.5362,                0.41496,                0.31164,                0.05964,               4.04e-05,               4.04e-05
                      2,                 1.7513,                0.35189,                0.40966,                0.39478,                0.09387,                0.05387,                0.01862,                 1.2799,                 0.5189,                0.22885,               0.019231,              8.085e-05,              8.085e-05
                      3,                 1.5776,                 0.4195,                0.34888,                0.21429,                0.12194,                0.10199,                0.04589,                 1.0744,                0.59954,                0.17019,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.4277,                0.46778,                0.29929,                0.33261,                0.14544,                0.13443,                0.06568,                0.97712,                0.61072,                0.14644,                 0.0001,                 0.0001,                 0.0001
                      5,                  1.359,                0.47908,                 0.2748,                0.31108,                0.17498,                0.15987,                0.08342,                0.92139,                0.61234,                0.13346,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.3117,                0.48871,                0.25973,                0.32074,                0.18603,                0.17527,                0.09158,                0.88438,                0.62164,                0.12601,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.2704,                0.49357,                0.24829,                0.34466,                0.22134,                0.20991,                 0.1123,                0.85363,                0.60911,                0.12202,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.2389,                0.49859,                0.23958,                0.33723,                 0.2409,                0.22523,                 0.1212,                0.81547,                 0.6158,                0.11021,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.2225,                0.49772,                0.23129,                0.35799,                0.25167,                0.23792,                 0.1303,                0.80611,                0.61349,                0.10842,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.1959,                0.50437,                0.22469,                0.36591,                0.26469,                0.25371,                 0.1416,                0.78642,                0.61568,                0.10375,                 0.0001,                 0.0001,                 0.0001
                     11,                 1.1945,                0.49955,                0.22417,                0.37977,                0.27785,                0.26496,                0.14946,                0.77219,                 0.6129,                0.10006,                 0.0001,                 0.0001,                 0.0001
                     12,                  1.172,                0.50273,                0.21694,                0.39261,                 0.2837,                0.26751,                0.15142,                0.76276,                0.61219,                0.09777,                 0.0001,                 0.0001,                 0.0001
                     13,                 1.1557,                0.50333,                0.21301,                0.40164,                0.29264,                0.28208,                0.15956,                0.75264,                0.61167,                0.09657,                 0.0001,                 0.0001,                 0.0001
                     14,                 1.1511,                0.50227,                0.21432,                0.42553,                0.30022,                0.29325,                0.16579,                0.73996,                0.61219,                0.09401,                 0.0001,                 0.0001,                 0.0001
                     15,                  1.121,                0.50723,                0.20164,                0.44066,                0.30856,                0.30315,                0.17313,                0.72758,                0.61308,                0.09197,                 0.0001,                 0.0001,                 0.0001
                     16,                 1.1221,                 0.5045,                0.20556,                0.44395,                0.30974,                 0.3069,                0.17704,                0.72615,                0.61102,                0.09153,                 0.0001,                 0.0001,                 0.0001
                     17,                 1.1176,                0.50414,                0.20479,                0.44481,                0.31532,                0.31383,                0.18093,                0.71725,                0.61197,                 0.0898,                 0.0001,                 0.0001,                 0.0001
                     18,                 1.0985,                0.50629,                0.19637,                0.45597,                  0.314,                 0.3174,                0.18385,                0.71161,                 0.6114,                0.08887,                 0.0001,                 0.0001,                 0.0001
                     19,                 1.0826,                 0.5104,                0.19039,                0.46276,                0.31967,                0.32285,                0.18751,                0.70718,                 0.6106,                0.08803,                 0.0001,                 0.0001,                 0.0001
                     20,                 1.0835,                0.50762,                0.19032,                0.46183,                0.32395,                0.32595,                0.19014,                0.70281,                0.60991,                0.08699,                 0.0001,                 0.0001,                 0.0001
                     21,                 1.0743,                0.50809,                0.19119,                0.46533,                0.32521,                0.32946,                0.19225,                0.69824,                 0.6094,                0.08557,                 0.0001,                 0.0001,                 0.0001
                     22,                  1.063,                0.50865,                0.18568,                0.46657,                0.32765,                0.33075,                 0.1926,                0.69507,                0.60896,                0.08492,                 0.0001,                 0.0001,                 0.0001
                     23,                 1.0585,                0.50932,                0.18754,                0.46852,                0.33284,                0.33484,                0.19573,                0.69179,                 0.6094,                 0.0843,                 0.0001,                 0.0001,                 0.0001
                     24,                 1.0537,                 0.5051,                0.18529,                0.47341,                0.33462,                0.33693,                0.19679,                0.68987,                0.60824,                  0.084,                 0.0001,                 0.0001,                 0.0001
                     25,                 1.0474,                0.50744,                0.18178,                 0.4758,                0.33567,                 0.3406,                 0.1993,                0.68823,                 0.6077,                0.08363,                 0.0001,                 0.0001,                 0.0001
                     26,                 1.0393,                0.50784,                0.17748,                0.47822,                0.33894,                0.34285,                0.20106,                0.68646,                0.60655,                0.08323,                 0.0001,                 0.0001,                 0.0001
                     27,                 1.0445,                0.50534,                 0.1815,                0.48044,                0.33871,                0.34436,                0.20216,                0.68339,                0.60662,                0.08272,                 0.0001,                 0.0001,                 0.0001
                     28,                 1.0312,                0.50846,                0.17448,                0.48743,                0.33951,                0.34663,                0.20341,                0.68172,                0.60541,                0.08244,                 0.0001,                 0.0001,                 0.0001
                     29,                 1.0303,                0.50581,                0.17876,                0.48691,                0.34204,                0.34943,                0.20525,                0.67865,                0.60489,                0.08188,                 0.0001,                 0.0001,                 0.0001
                     30,                 1.0207,                0.50687,                0.17303,                0.48776,                 0.3458,                0.35228,                0.20711,                0.67651,                0.60428,                0.08145,                 0.0001,                 0.0001,                 0.0001
                     31,                 1.0105,                0.50869,                0.17124,                0.49581,                0.34689,                0.35561,                0.20948,                 0.6745,                0.60365,                  0.081,                 0.0001,                 0.0001,                 0.0001
                     32,                 1.0045,                 0.5091,                0.16735,                0.49888,                0.34858,                0.35879,                0.21152,                0.67248,                 0.6032,                0.08058,                 0.0001,                 0.0001,                 0.0001
                     33,                 1.0123,                0.50606,                0.17378,                0.49966,                0.34908,                 0.3604,                0.21286,                0.67057,                0.60245,                0.08034,                 0.0001,                 0.0001,                 0.0001
                     34,                 1.0069,                0.50394,                0.17149,                 0.4967,                0.35333,                0.36278,                0.21445,                0.66876,                0.60188,                0.08006,                 0.0001,                 0.0001,                 0.0001
                     35,                 1.0035,                0.50666,                 0.1704,                0.49642,                0.35622,                0.36392,                0.21524,                0.66705,                0.60107,                0.07982,                 0.0001,                 0.0001,                 0.0001
                     36,                  0.995,                0.50435,                0.16576,                0.49855,                0.35806,                0.36608,                0.21674,                0.66559,                0.60012,                0.07955,                 0.0001,                 0.0001,                 0.0001
