                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0406,                 0.2314,                0.55358,                 0.3198,                0.03182,                0.01145,                0.00244,                 1.5523,                0.40412,                 0.3266,                0.05964,               4.04e-05,               4.04e-05
                      2,                 1.7808,                 0.3456,                 0.4133,                0.17194,                0.09115,                0.05308,                0.01842,                 1.2707,                0.53184,                 0.2093,               0.019231,              8.085e-05,              8.085e-05
                      3,                 1.6094,                0.41789,                0.35683,                0.27378,                0.11923,                0.10669,                0.04477,                 1.1348,                0.56796,                0.18393,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.4589,                0.46427,                0.30183,                0.24277,                0.15852,                 0.1386,                0.06843,                 1.0234,                0.60414,                0.15525,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.3916,                0.47673,                0.27654,                0.31309,                0.18239,                0.16465,                0.08398,                0.94698,                0.61393,                0.13427,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.3419,                0.48742,                0.26331,                0.28248,                0.20074,                0.17607,                0.09184,                0.90651,                 0.6211,                 0.1242,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.2959,                 0.4945,                0.24707,                 0.3034,                0.22127,                 0.2004,                0.10398,                0.89505,                0.60622,                0.12371,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.2624,                0.49948,                0.23823,                0.34177,                0.24261,                0.22675,                 0.1213,                0.85129,                0.61044,                0.11403,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.2476,                0.49811,                0.23188,                0.37715,                0.25541,                0.24289,                0.13275,                0.83092,                0.61203,                0.10694,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.2197,                0.50467,                0.22227,                0.37437,                0.27258,                0.25915,                 0.1428,                 0.8119,                0.61388,                0.10248,                 0.0001,                 0.0001,                 0.0001
                     11,                 1.2174,                0.49975,                0.22262,                0.37909,                0.28091,                0.26372,                0.14488,                0.79749,                0.61332,                0.09996,                 0.0001,                 0.0001,                 0.0001
                     12,                 1.1929,                0.50431,                0.21522,                0.40024,                0.28331,                0.27526,                0.15388,                0.78465,                0.61278,                0.09753,                 0.0001,                 0.0001,                 0.0001
                     13,                 1.1774,                0.50432,                0.21145,                0.40885,                 0.2944,                0.28793,                0.16276,                 0.7768,                0.61115,                0.09661,                 0.0001,                 0.0001,                 0.0001
                     14,                 1.1743,                0.50204,                0.21335,                0.41416,                0.30328,                0.29607,                0.16779,                0.76405,                0.61326,                0.09403,                 0.0001,                 0.0001,                 0.0001
                     15,                 1.1424,                0.50775,                 0.2002,                0.41274,                0.31327,                0.30496,                0.17478,                0.75484,                 0.6118,                 0.0925,                 0.0001,                 0.0001,                 0.0001
                     16,                 1.1445,                0.50472,                0.20257,                0.42481,                0.31285,                0.31067,                0.17849,                0.75063,                0.61029,                0.09168,                 0.0001,                 0.0001,                 0.0001
                     17,                 1.1358,                0.50464,                0.20135,                0.42218,                0.32066,                 0.3159,                0.18161,                0.74348,                 0.6099,                0.09007,                 0.0001,                 0.0001,                 0.0001
                     18,                 1.1195,                0.50682,                0.19532,                0.43523,                0.32285,                0.32107,                0.18502,                0.74063,                0.60882,                0.08934,                 0.0001,                 0.0001,                 0.0001
                     19,                 1.1046,                0.51063,                0.18992,                0.44304,                0.32664,                0.32478,                0.18837,                0.73533,                0.60844,                0.08804,                 0.0001,                 0.0001,                 0.0001
                     20,                 1.1057,                0.50815,                0.18851,                0.44188,                0.32946,                0.32883,                0.19133,                0.73113,                0.60721,                 0.0878,                 0.0001,                 0.0001,                 0.0001
                     21,                 1.0942,                0.50967,                0.18997,                0.43717,                0.33347,                0.33168,                0.19348,                0.72635,                0.60744,                0.08638,                 0.0001,                 0.0001,                 0.0001
                     22,                 1.0849,                0.50882,                0.18448,                0.44579,                0.33402,                0.33484,                 0.1955,                0.72204,                0.60794,                 0.0855,                 0.0001,                 0.0001,                 0.0001
                     23,                 1.0805,                   0.51,                0.18733,                0.45085,                0.33598,                0.33675,                 0.1967,                 0.7192,                 0.6074,                0.08491,                 0.0001,                 0.0001,                 0.0001
                     24,                 1.0736,                0.50646,                0.18279,                0.45526,                0.33805,                0.33978,                0.19845,                0.71637,                0.60685,                0.08442,                 0.0001,                 0.0001,                 0.0001
                     25,                 1.0658,                0.50841,                 0.1791,                0.45554,                0.33731,                0.34164,                0.19949,                0.71348,                0.60706,                0.08387,                 0.0001,                 0.0001,                 0.0001
                     26,                 1.0579,                0.50988,                0.17577,                0.45968,                0.33945,                0.34475,                0.20184,                0.71052,                0.60706,                0.08351,                 0.0001,                 0.0001,                 0.0001
